WRN 2026-04-23T21:37:58.558 ui.10345   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:37:58.558 ui.10345   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:37:58.558 ui.10345   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:37:58.558 ui.10345   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:37:58.558 ui.10345   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:39:09.358 ui.12807   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:39:09.358 ui.12807   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:39:09.358 ui.12807   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:39:09.358 ui.12807   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:39:09.358 ui.12807   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:39:31.331 ui.12869   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:39:31.331 ui.12869   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:39:31.331 ui.12869   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:39:31.331 ui.12869   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:39:31.331 ui.12869   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:39:35.820 ui.12886   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:39:35.820 ui.12886   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:39:35.820 ui.12886   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:39:35.820 ui.12886   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:39:35.820 ui.12886   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:40:54.455 ui.13334   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:40:54.455 ui.13334   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:40:54.455 ui.13334   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:40:54.455 ui.13334   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:40:54.455 ui.13334   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:41:30.289 ui.15674   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:41:30.289 ui.15674   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:41:30.289 ui.15674   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:41:30.289 ui.15674   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:41:30.289 ui.15674   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:41:47.584 ui.15734   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:41:47.584 ui.15734   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:41:47.584 ui.15734   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:41:47.584 ui.15734   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:41:47.584 ui.15734   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:42:19.885 ui.16631   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:42:19.885 ui.16631   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:42:19.885 ui.16631   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:42:19.885 ui.16631   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:42:19.885 ui.16631   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:42:40.676 ui.16705   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:42:40.676 ui.16705   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:42:40.676 ui.16705   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:42:40.676 ui.16705   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:42:40.676 ui.16705   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:42:44.710 ui.16728   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:42:44.710 ui.16728   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:42:44.710 ui.16728   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:42:44.710 ui.16728   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:42:44.710 ui.16728   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:43:00.253 ui.16879   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:43:00.254 ui.16879   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:43:00.254 ui.16879   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:43:00.254 ui.16879   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:43:00.254 ui.16879   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:45:42.044 ui.21376   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:45:42.044 ui.21376   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:45:42.044 ui.21376   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:45:42.044 ui.21376   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:45:42.044 ui.21376   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:46:05.230 ui.21551   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:46:05.230 ui.21551   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:46:05.230 ui.21551   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:46:05.230 ui.21551   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:46:05.230 ui.21551   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:46:18.839 ui.21691   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:46:18.839 ui.21691   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:46:18.839 ui.21691   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:46:18.839 ui.21691   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:46:18.839 ui.21691   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:46:48.529 ui.22292   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:46:48.529 ui.22292   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:46:48.529 ui.22292   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:46:48.529 ui.22292   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:46:48.529 ui.22292   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:47:29.654 ui.23427   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T21:47:29.654 ui.23427   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T21:47:29.654 ui.23427   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T21:47:29.654 ui.23427   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T21:47:29.654 ui.23427   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T21:51:55.084 ui.1679    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
